Temperature_C,Humidity_Percent,CO_ppm
4.17,56.61,26.31
29.82,67.97,2.5
39.2,84.54,28.41
38.29,22.47,13.03
34.77,45.07,39.06
1.31,17.85,32.05
39.56,34.38,27.69
-1.28,85.15,17.33
-9.18,87.85,10.57
37.3,52.75,42.28
-2.16,49.21,1.08
22.94,83.69,13.99
-11.79,30.77,23.66
25.19,37.44,11.5
33.49,51.05,20.83
-0.02,30.75,5.53
5.85,18.29,39.91
5.59,43.86,2.49
26.18,70.07,36.94
-1.92,37.7,1.66
-5.55,18.42,37.6
9.71,90.32,9.96
1.75,88.25,30.6
31.16,63.23,7.55
-1.92,91.51,31.08
12.63,81.84,27.32
36.84,16.94,18.25
19.87,68.07,12.14
32.7,60.98,1.6
36.71,30.88,28.95
26.29,81.6,16.24
23.48,32.17,18.54
38.24,40.83,34.71
39.69,47.06,40.51
9.85,75.65,28.1
-11.1,18.27,33.78
1.1,71.26,18.63
-6.62,16.62,40.79
7.96,25.04,9.87
-7.78,78.6,5.62
18.23,22.03,14.01
6.05,40.27,32.64
34.25,27.11,11.43
38.23,66.38,24.43
15.08,19.14,8.99
0.12,26.01,13.36
17.57,89.26,34.31
34.32,53.09,5.86
7.37,64.63,12.79
15.36,18.19,8.2
-0.06,61.27,36.21
10.05,88.75,29.37
7.09,60.09,4.46
-1.34,48.67,25.47
12.82,17.14,28.16
2.07,35.78,24.23
5.52,39.77,2.59
13.87,35.28,31.19
26.28,38.04,34.7
3.34,55.4,32.14
35.83,26.2,13.84
32.43,20.2,37.89
-12.32,29.53,44.17
-1.05,23.03,42.74
9.54,86.9,43.4
-9.25,55.97,24.28
4.17,76.95,21.72
25.71,49.01,31.51
22.43,47.47,21.7
19.23,39.62,13.79
24.08,48.67,14.87
-3.73,54.84,16.98
3.79,33.87,20.31
22.19,59.62,34.38
33.36,29.72,37.42
14.9,53.05,12.66
0.55,81.33,30.98
-13.34,53.06,19.73
24.07,51.89,6.15
-14.57,65.39,8.36
5.5,79.25,2.14
14.18,74.63,5.22
35.72,60.0,41.33
-10.08,75.1,31.38
7.33,27.31,19.86
-13.66,60.15,17.1
3.84,19.22,19.37
19.22,70.25,25.99
0.35,25.04,41.66
-3.46,45.55,4.34
-8.64,68.53,26.8
16.74,22.86,31.6
23.24,24.98,23.19
21.96,91.32,14.06
37.19,67.41,3.64
-14.85,54.51,43.13
20.6,47.24,23.96
18.02,59.97,8.61
17.38,47.72,40.67
37.95,21.95,20.5
-14.07,21.3,34.05
23.31,30.96,2.52
29.75,78.16,27.88
13.04,20.64,28.39
3.37,38.65,16.74
28.5,32.73,40.26
-9.65,61.35,43.88
9.31,67.7,33.89
13.6,43.08,6.77
23.17,68.31,1.03
-10.0,53.21,1.73
-2.47,88.74,2.4
7.57,54.25,11.35
19.28,54.42,37.07
33.78,17.31,37.34
19.04,72.04,9.16
-7.66,30.01,43.76
38.93,59.15,5.17
32.95,69.99,39.31
12.65,64.81,27.61
35.73,20.55,25.93
14.78,68.3,42.38
35.78,88.53,18.91
30.64,50.53,20.37
38.26,20.13,27.27
35.59,83.56,14.84
-13.02,48.64,13.9
-5.39,19.05,42.58
6.4,86.48,43.57
37.37,16.25,31.38
1.5,51.53,30.96
-6.17,40.02,19.43
33.75,32.82,3.47
9.55,31.16,6.02
34.93,30.95,19.85
-6.19,31.03,21.65
21.36,87.15,32.86
9.21,81.58,4.49
-10.79,49.0,8.99
23.31,58.69,0.14
-1.39,62.17,16.67
-12.82,23.05,36.44
-11.7,45.97,3.59
-11.64,88.67,43.39
34.93,20.4,44.32
25.69,66.88,27.19
34.39,23.18,5.49
21.99,90.77,26.36
14.09,59.44,0.82
1.74,23.73,44.52
39.89,33.07,42.35
4.92,73.38,10.26
10.89,69.52,28.1
5.8,29.09,35.52
38.87,30.45,18.94
-5.39,17.73,11.16
3.04,30.68,5.72
22.42,54.37,44.88
-11.52,61.05,34.59
18.4,16.69,37.37
11.27,61.63,11.19
0.62,59.64,31.04
-1.89,21.81,11.08
13.3,30.54,42.09
5.24,76.63,0.61
10.11,30.85,20.07
3.56,59.44,38.56
38.38,90.58,40.4
-7.66,41.41,22.95
-9.68,27.95,37.03
3.89,67.87,19.03
17.51,19.6,5.09
21.25,38.57,39.81
6.85,88.49,12.75
39.96,31.88,6.25
4.35,59.53,40.42
24.68,44.82,12.37
20.07,73.41,42.45
29.72,50.74,19.22
38.69,86.19,33.72
33.94,33.01,36.66
27.05,75.62,26.82
23.4,35.29,2.61
3.45,70.42,33.91
-6.88,18.93,0.11
-11.56,38.0,38.64
-1.7,76.03,14.42
8.78,63.08,38.23
13.71,17.4,9.38
27.52,30.6,35.93
37.73,19.54,44.58
-8.55,87.49,1.57
-9.11,74.92,6.57
17.43,30.15,43.86
26.0,45.78,18.63
31.65,37.84,26.64
36.47,58.56,43.97
39.09,25.96,24.41
6.99,82.47,2.8
5.92,74.74,20.19
-6.87,18.74,3.79
22.67,91.01,12.31
21.12,83.59,19.6
32.41,15.63,8.97
-9.65,83.09,34.71
12.38,82.31,21.14
16.96,36.96,15.23
-1.71,48.99,17.4
-5.7,90.49,33.09
32.28,40.78,30.73
-11.78,78.49,3.02
10.88,73.91,35.34
-8.63,49.72,24.77
10.14,34.06,18.62
38.9,43.08,18.78
8.3,38.83,4.24
32.14,88.62,23.34
-8.55,46.61,34.36
-0.08,84.15,21.78
7.21,71.82,31.58
6.99,63.25,8.19
21.93,67.7,20.9
3.96,92.43,25.02
24.26,31.04,1.89
20.16,68.96,15.06
6.95,67.53,19.64
8.75,22.58,5.32
18.8,33.07,19.35
-11.15,48.86,21.16
30.23,33.1,5.9
20.94,57.14,5.6
24.95,46.77,41.19
14.53,31.82,8.42
-8.92,27.35,29.97
7.28,82.95,43.9
7.3,45.53,39.64
2.66,67.5,17.96
-13.35,75.55,32.32
25.55,72.0,35.13
-8.96,72.62,6.29
18.35,88.85,40.03
23.68,57.83,28.33
19.91,86.36,15.65
37.75,20.95,22.96
-9.32,39.96,17.77
32.69,64.65,24.82
-13.39,90.43,0.76
14.42,81.93,11.62
7.23,41.39,5.09
13.83,52.53,16.55
5.08,27.19,11.16
-4.52,79.84,35.92
-13.95,75.57,32.42
13.5,48.99,39.24
31.35,48.79,23.01
5.53,25.03,32.19
-2.74,87.88,31.95
-10.57,30.23,27.77
-10.31,59.63,15.21
-2.82,33.85,12.77
-9.5,24.45,43.14
-0.42,71.83,3.69
-11.36,52.02,15.6
-11.39,92.6,31.08
32.1,60.77,44.76
-6.08,86.75,4.53
15.78,67.71,29.52
27.54,28.34,19.12
10.1,21.51,17.52
-6.56,75.73,22.13
-4.02,88.08,8.81
8.81,71.62,12.05
14.05,53.72,35.79
4.22,29.75,16.84
27.98,50.92,9.45
26.31,37.64,10.14
36.0,72.11,14.27
-13.41,41.44,44.29
34.26,22.24,40.36
6.59,30.89,15.98
33.31,39.04,30.78
22.99,43.49,20.87
39.3,73.16,17.29
26.76,40.2,43.58
5.05,84.81,7.41
12.56,89.67,38.99
5.7,60.23,18.81
5.07,23.14,9.45
-0.65,54.42,6.68
12.28,60.64,1.11
22.5,89.57,7.02
0.25,58.93,27.47
13.84,62.3,4.42
-8.54,15.77,42.86
-6.21,88.59,35.97
-12.43,38.1,41.19
38.39,62.4,6.33
-14.79,74.03,11.27
-5.18,56.34,41.77
18.71,17.12,0.43
-10.52,49.02,36.1
33.5,57.26,19.77
24.58,59.6,33.49
38.15,66.45,34.72
12.92,85.44,24.05
1.52,80.18,9.86
15.22,39.36,21.08
36.2,57.09,29.4
13.64,92.46,14.43
-0.3,43.99,36.59
33.26,82.83,38.52
5.46,48.07,0.9
-14.92,74.93,11.52
-1.38,92.72,28.64
2.5,91.71,43.52
32.23,86.67,32.21
10.22,19.78,23.18
9.45,29.7,4.82
3.49,86.26,25.04
33.44,19.85,29.33
36.98,35.1,40.06
39.55,26.95,5.22
5.72,89.8,17.29
38.14,78.16,36.88
28.55,32.95,39.21
22.16,30.39,10.46
-1.53,91.0,33.91
-3.09,16.22,22.81
-5.87,57.16,6.79
35.75,34.2,36.66
1.17,61.12,25.89
9.92,70.12,18.14
12.17,40.2,9.57
27.8,21.41,44.03
31.43,66.59,22.43
-7.35,39.09,37.08
8.48,75.88,38.41
31.36,63.36,32.15
29.99,19.53,14.35
-9.37,54.39,36.58
-6.4,83.31,34.49
1.73,79.68,18.27
-10.86,52.37,34.47
8.36,72.44,36.64
-9.08,70.01,31.73
16.25,67.57,2.68
-1.44,87.26,30.74
17.8,24.59,18.85
-8.54,69.03,30.47
38.67,36.35,40.49
36.29,25.96,11.79
6.55,47.09,43.46
-1.68,24.23,15.67
-1.23,53.75,33.38
11.59,48.6,9.13
-12.8,78.98,16.65
20.18,51.44,27.71
7.46,78.11,33.4
5.76,27.64,2.44
29.52,18.73,9.74
24.0,71.59,3.71
37.49,54.6,3.68
4.36,47.84,20.3
34.36,70.61,23.97
27.35,88.99,33.39
4.66,72.59,24.83
19.19,66.43,10.72
0.87,53.61,8.96
33.09,24.47,3.18
-8.82,21.18,3.63
-3.32,18.67,2.93
-4.93,39.87,20.56
7.17,42.46,21.14
25.99,48.18,30.17
13.98,75.01,26.42
11.82,56.49,25.52
-14.97,25.69,13.78
8.4,24.29,31.26
-11.5,65.49,30.8
-3.55,16.17,16.2
36.28,72.4,39.14
-3.15,44.07,43.29
32.21,92.97,9.33
29.16,60.02,0.86
-6.25,82.48,15.41
18.31,77.39,39.08
-8.64,43.2,21.44
25.03,71.68,40.31
20.06,88.2,10.23
29.66,37.5,13.65
11.37,35.12,30.59
35.32,30.16,42.96
-12.29,85.03,38.34
1.11,25.58,26.68
24.33,46.6,39.39
8.0,50.75,24.15
-5.49,53.58,30.35
-9.1,84.91,1.61
29.95,37.87,16.29
11.02,80.93,17.09
33.53,58.34,34.56
25.33,83.49,13.16
7.53,41.43,13.02
5.54,33.08,6.29
13.36,34.73,18.85
33.9,30.03,0.75
25.55,17.82,9.91
-14.72,34.35,18.65
23.18,64.18,19.55
35.57,59.58,22.66
24.08,21.25,17.69
-5.26,48.54,31.17
11.59,86.73,36.72
-7.28,30.67,10.83
4.74,26.54,23.85
36.54,25.56,33.51
35.78,80.15,5.21
0.56,53.64,3.06
3.68,33.3,19.96
18.01,80.46,28.87
37.98,65.43,14.0
-6.87,90.53,7.7
-0.87,42.02,21.51
33.05,44.57,42.39
12.05,16.51,43.14
34.44,26.2,20.49
-4.8,17.95,20.5
14.3,37.3,33.33
2.94,56.57,38.51
2.41,23.54,4.87
9.58,40.01,16.08
8.82,52.26,30.34
4.65,25.79,15.07
35.32,48.25,12.6
25.25,65.92,38.06
25.02,78.48,1.86
0.95,28.06,15.79
16.77,77.2,0.34
27.85,68.54,43.39
28.76,86.87,31.12
3.95,26.12,44.69
27.4,35.14,15.87
25.47,36.91,6.13
-7.22,18.18,16.52
32.63,19.64,9.3
9.27,80.51,11.52
11.75,70.31,10.2
9.66,88.43,2.44
16.23,36.34,32.0
19.16,89.25,35.54
12.4,20.82,11.91
32.67,79.33,37.3
19.53,75.95,0.0
7.08,48.27,0.08
7.92,89.83,44.95
29.6,48.82,8.59
4.15,74.01,27.1
-3.37,76.07,10.94
-11.73,32.18,26.93
33.18,53.01,10.89
35.52,91.95,33.42
-8.39,25.53,20.12
3.4,42.51,26.16
-5.35,39.33,5.51
-8.63,20.48,17.84
34.49,31.17,4.84
-11.87,73.98,37.42
38.93,49.51,12.61
-9.7,86.8,1.61
32.49,15.92,34.81
16.16,56.43,23.45
5.24,68.63,23.19
3.83,73.01,21.92
26.66,33.92,25.4
2.3,37.47,2.0
21.15,74.58,44.01
13.45,50.66,39.88
11.67,88.6,40.64
34.56,90.96,5.21
15.51,58.07,3.77
30.48,21.16,38.2
24.91,70.18,2.73
-12.88,38.47,38.47
27.52,32.8,38.29
-3.07,82.07,26.34
34.67,28.95,41.16
-12.64,18.82,9.87
3.32,62.16,30.24
-9.51,26.22,3.87
11.16,19.49,25.63
30.1,15.87,11.88
1.4,52.31,32.4
-6.7,36.41,42.91
3.16,73.3,44.66
29.76,22.31,4.89
-7.28,69.91,31.64
-2.5,40.78,16.26
-11.21,42.85,43.98
23.81,21.09,26.24
6.74,44.79,5.66
2.1,65.65,26.86
24.52,30.5,35.81
3.48,66.99,9.83
25.03,64.6,34.77
29.84,28.33,28.77
-3.03,39.69,5.99
38.56,67.11,33.02
-6.07,36.26,10.92
1.0,91.45,1.87
-5.11,70.61,7.81
4.0,16.82,7.8
11.4,57.78,24.67
13.72,23.92,27.99
31.95,65.63,15.69
33.92,35.38,17.39
-2.89,15.8,5.0
19.26,31.08,14.11
-8.87,29.17,29.85
10.24,74.44,3.19
2.73,19.34,44.53
2.41,19.68,27.61
11.54,86.91,40.65
25.14,29.79,21.58
-11.19,89.43,25.81
33.35,52.32,1.15
25.41,41.5,12.1
-5.29,86.0,22.0
36.65,19.92,23.2
12.85,62.59,23.64
39.99,75.69,20.77
-4.15,45.66,18.82
14.42,61.62,12.58
0.96,92.39,10.58
1.73,81.73,25.65
17.51,87.41,31.68
35.69,85.91,4.85
29.29,48.88,44.08
24.82,77.83,18.92
15.75,90.28,34.46
35.73,56.54,10.33
12.08,87.5,29.22
33.06,15.69,39.75
30.87,36.85,20.22
-3.24,63.08,42.7
27.42,43.19,3.69
-14.33,37.73,42.99
2.76,84.99,34.9
-2.37,18.53,15.24
12.88,42.23,16.11
25.53,40.29,21.2
-9.63,38.34,24.06
13.32,51.36,38.78
36.61,52.53,29.53
-2.42,66.65,38.32
22.24,66.89,2.04
17.61,35.36,27.03
-14.45,51.24,27.23
11.17,26.59,5.24
23.98,48.77,2.26
-12.58,68.57,12.62
33.37,70.07,17.47
13.6,84.57,21.04
-13.31,18.17,13.25
-2.66,48.82,26.62
37.45,91.8,18.82
17.03,56.66,26.26
-9.09,53.22,24.32
0.81,54.15,32.17
10.12,50.06,2.34
-13.85,21.81,32.41
7.64,39.66,39.91
11.92,59.84,25.39
-1.6,66.83,37.16
17.38,61.81,8.37
26.43,59.55,44.57
-2.03,91.89,18.68
19.13,77.33,5.07
20.18,91.76,35.08
37.17,34.59,5.68
27.81,65.2,18.3
31.66,24.67,27.56
11.97,71.96,3.35
-4.81,72.09,25.48
39.77,58.84,22.82
-7.89,63.04,2.19
10.93,74.1,39.05
-11.25,77.19,37.55
36.91,21.92,24.63
38.07,58.43,9.82
24.57,43.61,21.14
4.25,61.16,15.99
-1.01,21.21,29.39
-0.41,61.35,32.67
-8.0,64.54,24.73
13.92,42.67,43.38
-7.2,50.89,10.11
2.42,64.5,14.46
19.47,42.2,28.55
25.01,30.07,42.46
-13.67,81.94,23.44
8.66,29.42,25.58
20.87,72.1,27.63
31.93,37.16,24.68
11.14,28.51,17.73
38.31,34.16,42.4
-0.39,39.84,6.18
-14.26,44.74,28.48
11.61,27.49,39.9
-0.91,82.51,19.6
30.3,65.68,14.62
-2.2,57.55,3.45
2.08,23.14,5.48
28.52,34.75,43.74
24.33,85.7,28.57
15.69,60.38,41.41
23.77,20.9,28.94
8.03,18.75,14.89
-14.71,82.46,7.06
-14.38,52.83,42.84
13.12,40.75,30.16
-10.42,88.95,25.13
-12.19,72.61,32.35
38.1,40.68,12.22
32.25,40.83,25.64
-6.64,82.82,20.95
-14.96,85.05,12.7
36.79,64.69,26.79
0.31,71.24,28.36
-4.78,69.24,15.46
23.03,64.17,1.38
-9.01,37.36,10.86
-0.44,92.88,10.2
38.63,88.48,36.75
20.17,68.43,31.11
13.64,68.29,38.36
6.89,90.33,19.11
27.6,46.66,17.89
-7.25,41.18,42.63
38.2,88.64,15.16
32.36,60.65,14.12
18.97,79.33,4.35
-12.64,45.73,32.54
23.55,33.05,2.49
35.23,41.12,35.4
13.85,85.8,24.75
4.48,50.96,21.79
-8.38,23.92,7.65
26.52,33.26,9.63
33.68,62.21,44.88
-9.49,16.65,26.72
26.74,31.3,36.9
-14.06,27.06,15.32
38.19,88.12,23.53
18.83,15.67,9.21
15.38,28.71,35.07
1.28,75.0,35.77
36.11,54.01,42.69
-0.38,57.89,41.32
30.55,90.99,10.85
39.18,56.28,12.72
28.09,55.67,14.84
13.54,60.02,14.84
-11.37,54.79,32.38
10.98,68.68,38.13
9.1,76.72,26.85
-3.85,44.18,36.02
8.3,65.02,43.52
4.68,37.77,42.31
-6.0,72.35,32.85
9.28,30.95,40.82
-0.55,51.97,44.45
13.71,91.55,13.62
-13.07,26.4,6.8
34.84,65.66,22.13
29.9,73.42,43.49
15.39,66.8,43.68
31.85,82.24,6.36
37.93,51.36,19.25
-8.92,64.44,21.86
19.7,61.36,3.0
39.89,57.33,41.85
39.33,69.27,25.36
18.18,48.81,6.76
-7.96,70.15,20.62
17.08,27.28,22.08
-14.89,21.33,12.32
-4.06,44.2,3.31
37.59,54.37,16.91
3.17,77.16,27.98
20.11,28.76,21.75
0.45,78.24,2.96
